point_id,longitude,latitude,x_utm,y_utm,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,sample_class,authoritative_label,pu_training_target,source
ME/JBP/2024/BRS_1/49367,79.679,21.702,363353.36654560163,2400425.6974713746,1942.0,2241.0,2728.0,3769.0,5365.0,4236.0,0.1602277904748916,-0.1747317761182785,1.40473735332489,1.2665250301361084,44.9,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_2/49367,79.634,21.657,358653.96664369444,2395484.3597368104,1250.0,1430.0,1382.0,2874.0,2809.0,2019.0,0.3505639135837555,0.0114376209676265,1.1055999994277954,1.3912827968597412,61.84,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_3/49367,79.634,21.658,358654.94089416775,2395595.0641745776,1276.0,1443.0,1461.0,2850.0,2938.0,2157.0,0.3221990168094635,-0.0152038699015975,1.1449843645095823,1.362076997756958,0.18,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_4/49367,79.637,21.659,358966.37706189207,2395703.0392376557,1220.0,1400.0,1331.0,2850.0,2719.0,1909.0,0.3633102178573608,0.0235230736434459,1.0909836292266846,1.4243059158325195,3.34,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_5/49367,79.636,21.723,358925.2423655222,2402789.0550304153,1444.0,1739.0,1929.0,3650.0,3504.0,2485.0,0.3084782361984253,0.0204081628471612,1.3358725309371948,1.4100604057312012,0.81,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_6/49367,79.685,21.749,364018.30828257935,2405623.4860452753,1498.0,1781.0,2090.0,3292.0,3948.0,3002.0,0.2233370542526245,-0.0906077325344085,1.395193576812744,1.315123200416565,0.16,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_7/49367,79.636,21.681,358884.3036941962,2398139.447969865,1207.0,1302.0,1280.0,2995.0,2568.0,1789.0,0.4011695981025696,0.0767571479082107,1.0604804754257202,1.4354387521743774,11.92,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_8/49367,79.635,21.681,358780.83211465296,2398140.3585069603,1267.0,1392.0,1410.0,2870.0,2819.0,2016.0,0.34112149477005,0.0089646689593791,1.1128650903701782,1.3983135223388672,11.73,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_9/49367,79.645,21.697,359831.0303401353,2399902.554619189,1491.0,1737.0,2046.0,3260.0,4154.0,3108.0,0.2287975847721099,-0.1205826848745346,1.3722333908081057,1.3365508317947388,15.52,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
ME/JBP/2024/BRS_10/49367,79.646,21.697,359934.49016980664,2399901.6502255406,1555.0,1819.0,2215.0,3446.0,4206.0,3233.0,0.2174527496099472,-0.0993204414844513,1.4244372844696045,1.3009588718414309,20.75,authoritative_manganese_positive,1.0,1,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367
