point_id,longitude,latitude,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,label,sample_class,sample_type,location,source,source_report,NUID,page
ME/JBP/2024/BRS_1/49367,79.679,21.702,1942.0,2241.0,2728.0,3769.0,5365.0,4236.0,0.16022779047489166,-0.1747317761182785,1.4047373533248901,1.2665250301361084,44.9,1,authoritative_manganese_positive,BRS,Mineralization associated with quartzofeldspathic rock near Chandadoh,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_2/49367,79.634,21.657,1250.0,1430.0,1382.0,2874.0,2809.0,2019.0,0.3505639135837555,0.011437620967626572,1.1055999994277954,1.3912827968597412,61.84,1,authoritative_manganese_positive,BRS,Mn mineralization debris scattered in the area,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_3/49367,79.634,21.658,1276.0,1443.0,1461.0,2850.0,2938.0,2157.0,0.3221990168094635,-0.0152038699015975,1.1449843645095825,1.362076997756958,0.18,1,authoritative_manganese_positive,BRS,Lateritic capping developed over schistose rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_4/49367,79.637,21.659,1220.0,1400.0,1331.0,2850.0,2719.0,1909.0,0.36331021785736084,0.02352307364344597,1.0909836292266846,1.4243059158325195,3.34,1,authoritative_manganese_positive,BRS,Lateritic capping developed over schistose rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_5/49367,79.636,21.723,1444.0,1739.0,1929.0,3650.0,3504.0,2485.0,0.3084782361984253,0.020408162847161293,1.3358725309371948,1.4100604057312012,0.81,1,authoritative_manganese_positive,BRS,Lateritic debris scattered over crystalline limestone,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_6/49367,79.685,21.749,1498.0,1781.0,2090.0,3292.0,3948.0,3002.0,0.2233370542526245,-0.09060773253440857,1.3951935768127441,1.315123200416565,0.16,1,authoritative_manganese_positive,BRS,Lateritic debris capping over gneissic rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_7/49367,79.636,21.681,1207.0,1302.0,1280.0,2995.0,2568.0,1789.0,0.4011695981025696,0.07675714790821075,1.0604804754257202,1.4354387521743774,11.92,1,authoritative_manganese_positive,BRS,Mineralization is associated with quartz in the vein form,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_8/49367,79.635,21.681,1267.0,1392.0,1410.0,2870.0,2819.0,2016.0,0.34112149477005005,0.008964668959379196,1.1128650903701782,1.3983135223388672,11.73,1,authoritative_manganese_positive,BRS,Mn ore associated with quartzofeldspathic rock in old working Koylari,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_9/49367,79.645,21.697,1491.0,1737.0,2046.0,3260.0,4154.0,3108.0,0.22879758477210999,-0.1205826848745346,1.3722333908081055,1.3365508317947388,15.52,1,authoritative_manganese_positive,BRS,Mineralization hosted within mica schist in the form of circular lenses,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_10/49367,79.646,21.697,1555.0,1819.0,2215.0,3446.0,4206.0,3233.0,0.2174527496099472,-0.0993204414844513,1.4244372844696045,1.3009588718414307,20.75,1,authoritative_manganese_positive,BRS,Mineralization is hosted within uartz mica schist,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_11/49367,79.642,21.675,1363.0,1527.0,1677.0,2600.0,3720.0,2837.0,0.21580547094345093,-0.17721518874168396,1.2303742170333862,1.311244249343872,0.37,1,authoritative_manganese_positive,BRS,Lateritic capping developed over schistose rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
